"date","year","month","day","total_downloads"
"2017-05-29",2017,"May",29,602
"2017-05-30",2017,"May",30,631
"2017-05-31",2017,"May",31,331
"2017-06-01",2017,"June",01,260
"2017-06-02",2017,"June",02,207
"2017-06-03",2017,"June",03,137
"2017-06-04",2017,"June",04,107
"2017-06-05",2017,"June",05,86
"2017-06-06",2017,"June",06,88
"2017-06-07",2017,"June",07,55
"2017-06-08",2017,"June",08,35
"2017-06-09",2017,"June",09,18
"2017-06-10",2017,"June",10,24
"2017-06-11",2017,"June",11,15
"2017-06-12",2017,"June",12,32
"2017-06-13",2017,"June",13,26
"2017-06-14",2017,"June",14,19
"2017-06-15",2017,"June",15,15
"2017-06-16",2017,"June",16,20
"2017-06-17",2017,"June",17,21
"2017-06-18",2017,"June",18,12
"2017-06-19",2017,"June",19,12
"2017-06-20",2017,"June",20,10
"2017-06-21",2017,"June",21,15
"2017-06-22",2017,"June",22,4
"2017-06-23",2017,"June",23,2
"2017-06-24",2017,"June",24,5
