"date","year","month","day","total_downloads"
"2017-05-28",2017,"May",28,0
"2017-05-29",2017,"May",29,764
"2017-05-30",2017,"May",30,332
"2017-05-31",2017,"May",31,155
"2017-06-01",2017,"June",01,85
"2017-06-02",2017,"June",02,62
"2017-06-03",2017,"June",03,37
"2017-06-04",2017,"June",04,26
"2017-06-05",2017,"June",05,38
"2017-06-06",2017,"June",06,54
"2017-06-07",2017,"June",07,20
"2017-06-08",2017,"June",08,23
"2017-06-09",2017,"June",09,25
"2017-06-10",2017,"June",10,24
"2017-06-11",2017,"June",11,11
"2017-06-12",2017,"June",12,31
"2017-06-13",2017,"June",13,23
"2017-06-14",2017,"June",14,14
"2017-06-15",2017,"June",15,16
"2017-06-16",2017,"June",16,10
"2017-06-17",2017,"June",17,18
"2017-06-18",2017,"June",18,10
"2017-06-19",2017,"June",19,10
"2017-06-20",2017,"June",20,6
"2017-06-21",2017,"June",21,12
"2017-06-22",2017,"June",22,3
"2017-06-23",2017,"June",23,3
"2017-06-24",2017,"June",24,4
